v1,market_ids,firm_ids,shares,demand_instruments0,demand_instruments1,demand_instruments2,demand_instruments3,demand_instruments4,supply_instruments0,supply_instruments1,supply_instruments2,supply_instruments3,supply_instruments4,supply_instruments5,prices,deliverytime,rating,hourlywages
0,0,0,.0060376059233556,1.873109565362125,9.154572340809887,1.199421096025233,10.33302186877569,.7839603852815328,2.284170853403883,7.219228027508962,1.873109565362125,9.154572340809887,1.199421096025233,10.33302186877569,4.586001145752101,,2.462066109432585,.7839603852815328
1,0,0,.0080470480189228,2.242486128907282,9.154572340809887,1.271857411318889,10.33302186877569,.4589886355010012,2.609142603184415,7.219228027508962,2.242486128907282,9.154572340809887,1.271857411318889,10.33302186877569,4.17170195618303,.6438098336926286,1.701694153621608,.4589886355010012
2,0,0,.0049802080685333,2.174372786736692,9.154572340809887,1.883208710636716,10.33302186877569,.6181133803480994,2.450017858337317,7.219228027508962,2.174372786736692,9.154572340809887,1.883208710636716,10.33302186877569,4.966029645167049,.0324585343748022,1.82164084470473,.6181133803480994
3,0,0,.0068456088194719,2.471595852582368,9.154572340809887,1.901145235054081,10.33302186877569,.6352896131553977,2.432841625530018,7.219228027508962,2.471595852582368,9.154572340809887,1.901145235054081,10.33302186877569,4.120470653482931,.0145220099574366,1.353257423149837,.6352896131553977
4,0,0,.0115395007921123,2.334877445156062,9.154572340809887,1.407036527011152,10.33302186877569,.5717792243993849,2.496352014286031,7.219228027508962,2.334877445156062,9.154572340809887,1.407036527011152,10.33302186877569,3.267534149285103,.5086307180003656,1.551516747949176,.5717792243993849
5,0,1,.0604619557503039,1.752731703321429,10.03267102906007,1.320534866274676,10.39372794150189,.0092322102631468,1.507010915002492,8.771116140928738,1.752731703321429,10.03267102906007,1.320534866274676,10.39372794150189,.9682383137487545,,1.15405295253787,.0092322102631468
6,0,1,.0077613923543603,1.279047579913061,10.03267102906007,1.743937780345905,10.39372794150189,.4581246684112209,1.058118456854418,8.771116140928738,1.279047579913061,10.03267102906007,1.743937780345905,10.39372794150189,4.306469381871191,.111023391939419,1.853293221941563,.4581246684112209
7,0,1,.0502652449263061,.9119579805903357,10.03267102906007,.8830078069110491,10.39372794150189,.0890296459904338,1.427213479275205,8.771116140928738,.9119579805903357,10.03267102906007,.8830078069110491,10.39372794150189,1.987180854683157,.9719533653742752,2.675279272533333,.0890296459904338
8,0,1,.0030449711375603,1.744298005483014,10.03267102906007,1.617403063324343,10.39372794150189,.9598566006008374,.5563865246648015,8.771116140928738,1.744298005483014,10.03267102906007,1.617403063324343,10.39372794150189,4.546548563715421,.2375581089609817,1.163827044364031,.9598566006008374
9,0,2,.007630192524986,2.089021599496065,9.158067082968433,1.687303751357306,9.799851859574817,.5801588162019519,2.010148642606218,7.697051807386208,2.089021599496065,9.158067082968433,1.687303751357306,9.799851859574817,4.438454669701031,.7615335028550883,1.977026806014422,.5801588162019519
10,0,2,.0123241476860021,2.169159271828311,9.158067082968433,2.033058312160326,9.799851859574817,.3596793840951259,2.230628074713044,7.697051807386208,2.169159271828311,9.158067082968433,2.033058312160326,9.799851859574817,3.576490001916246,,1.824774523618101,.3596793840951259
11,0,2,.0055255194382057,2.114655834666546,9.158067082968433,1.997085368246058,9.799851859574817,.7173025684837621,1.873004890324407,7.697051807386208,2.114655834666546,9.158067082968433,1.997085368246058,9.799851859574817,4.666833959041412,.4517518859663368,1.926991286952018,.7173025684837621
12,0,2,.0045852226550668,1.939010401591837,9.158067082968433,1.629064330873493,9.799851859574817,.9331666900273293,1.65714076878084,7.697051807386208,1.939010401591837,9.158067082968433,1.629064330873493,9.799851859574817,5.202322428670564,.8197729233389012,2.297003163496705,.9331666900273293
13,0,3,.0093550713193258,1.30650293405742,9.8800053287585,1.434292628155712,9.841125347173417,.6225091230483616,.969080949707999,8.695769193438016,1.30650293405742,9.8800053287585,1.434292628155712,9.841125347173417,3.582758298016056,.973271138458083,2.100498132767234,.6225091230483616
14,0,3,.0213780420231222,1.771785040847703,9.8800053287585,2.365311818333421,9.841125347173417,.2580018994576682,1.333588173298693,8.695769193438016,1.771785040847703,9.8800053287585,2.365311818333421,9.841125347173417,2.701520558173384,.0422519482803739,1.319024457328713,.2580018994576682
15,0,3,.009477789349216,1.598260902872089,9.8800053287585,1.666172475206477,9.841125347173417,.4768571389311294,1.114732933825231,8.695769193438016,1.598260902872089,9.8800053287585,1.666172475206477,9.841125347173417,2.660171974850278,,1.56896560807664,.4768571389311294
16,0,3,.0114311867807942,1.469483492435345,9.8800053287585,1.756914378145774,9.841125347173417,.2342219113192016,1.357368161437159,8.695769193438016,1.469483492435345,9.8800053287585,1.756914378145774,9.841125347173417,3.841942339977023,.6506493884680205,1.784599400050168,.2342219113192016
17,0,4,.0295037600531244,1.717904289751293,9.964115114849353,1.155283506091976,10.55517355102051,.0300512046607256,.9476661694009384,9.309641892132714,1.717904289751293,9.964115114849353,1.155283506091976,10.55517355102051,1.695349691970672,.5382320566747223,1.279748252553524,.0300512046607256
18,0,4,.0247111808195186,1.438052102016897,9.964115114849353,1.309274890018138,10.55517355102051,.1574558742619783,.8202614997996858,9.309641892132714,1.438052102016897,9.964115114849353,1.309274890018138,10.55517355102051,2.312511439185527,.3842406727485603,1.693022797209046,.1574558742619783
19,0,4,.0212817033590376,1.509046048199954,9.964115114849353,1.194929173259426,10.55517355102051,.2408815227728006,.7368358512888634,9.309641892132714,1.509046048199954,9.964115114849353,1.194929173259426,10.55517355102051,1.915931860083765,.4985863895072727,1.576995764918269,.2408815227728006
20,0,4,.0081315740625463,1.228700571971853,9.964115114849353,1.421059118930555,10.55517355102051,.5493287723661595,.4283886016955045,9.309641892132714,1.228700571971853,9.964115114849353,1.421059118930555,10.55517355102051,4.904188959508325,,2.087291095399086,.5493287723661595
21,0,5,.037864193258692,.4161362519324636,11.45398303103385,.9951252258253309,10.32054500088973,.1522224101643224,.3911475864528032,9.743989269577252,.4161362519324636,11.45398303103385,.9951252258253309,10.32054500088973,.78147212408865,.9330188870721503,1.060312316071097,.1522224101643224
22,0,5,.0134666470174445,.2612390391229424,11.45398303103385,1.794296121131241,10.32054500088973,.2341865983100502,.3091833983070754,9.743989269577252,.2612390391229424,11.45398303103385,1.794296121131241,10.32054500088973,3.007913632464563,.1338479917662404,1.237954864675901,.2341865983100502
23,0,5,.0214953637639353,.4224637094776246,11.45398303103385,1.775274397086598,10.32054500088973,.1160111446855102,.4273588519316154,9.743989269577252,.4224637094776246,11.45398303103385,1.775274397086598,10.32054500088973,2.215011864829896,.1528697158108828,1.053624415922125,.1160111446855102
24,0,5,.0268904557215329,.3242602628534712,11.45398303103385,1.219736594649273,10.32054500088973,.0409498434572428,.5024201531598828,9.743989269577252,.3242602628534712,11.45398303103385,1.219736594649273,10.32054500088973,1.860466831489421,.7084075182482079,1.162344971350909,.0409498434572428
25,1,0,.0061500328204316,2.00029128947146,10.89873851401224,2.108574724557587,9.13721841704664,.9277578976075384,2.417900465185237,12.2489364920889,2.00029128947146,10.89873851401224,2.108574724557587,9.13721841704664,4.260727013751482,,1.934890124518106,.9277578976075384
26,1,0,.0282237717347935,2.395512741159343,10.89873851401224,1.939098488392284,9.13721841704664,.0580572708330865,3.287601091959689,12.2489364920889,2.395512741159343,10.89873851401224,1.939098488392284,9.13721841704664,1.933295598412948,.6348212162463953,1.303208225408845,.0580572708330865
27,1,0,.0078657985320334,2.240773063991016,10.89873851401224,1.961248523239804,9.13721841704664,.7274675077642179,2.618190855028558,12.2489364920889,2.240773063991016,10.89873851401224,1.961248523239804,9.13721841704664,3.253467344676272,.6126711813988758,1.521305377300295,.7274675077642179
28,1,0,.0068667470329756,1.701173839348275,10.89873851401224,1.855405413937724,9.13721841704664,.8155128196368486,2.530145543155927,12.2489364920889,1.701173839348275,10.89873851401224,1.855405413937724,9.13721841704664,5.711777834569787,.7185142907009551,2.609524424242568,.8155128196368486
29,1,0,.0051340161461234,2.30361639061471,10.89873851401224,2.431351668427318,9.13721841704664,.8168628669510842,2.528795495841691,12.2489364920889,2.30361639061471,10.89873851401224,2.431351668427318,9.13721841704664,4.816202149553797,.142568036211361,1.428643568382475,.8168628669510842
30,1,1,.0421657163113236,1.851495008144971,11.37818668977347,1.372631766672091,9.635423445683214,.1097298843277823,1.054449184788121,14.43041578576577,1.851495008144971,11.37818668977347,1.372631766672091,9.635423445683214,1.837514818940236,,1.390131917394769,.1097298843277823
31,1,1,.0238291794067973,1.520482854250778,11.37818668977347,1.745687927738139,9.635423445683214,.1759407322881729,.9882383368277302,14.43041578576577,1.520482854250778,11.37818668977347,1.745687927738139,9.635423445683214,2.979972459588327,.3300267482639659,1.935587312565212,.1759407322881729
32,1,1,.0570583430885361,1.949219805731642,11.37818668977347,1.383744639384851,9.635423445683214,.0179978195761628,1.14618124953974,14.43041578576577,1.949219805731642,11.37818668977347,1.383744639384851,9.635423445683214,1.313515729109602,.691970036617254,1.26070848125949,.0179978195761628
33,1,1,.0077816519340506,1.221483298027515,11.37818668977347,1.725079694211234,9.635423445683214,.8605106329237852,.3036684361921179,14.43041578576577,1.221483298027515,11.37818668977347,1.725079694211234,9.635423445683214,6.215016759722674,.350634981790871,2.610156959739064,.8605106329237852
34,1,2,.0068428843874756,1.55810577695499,11.42505985925931,1.748046263016913,9.137922155716193,.8842648037961153,2.582394706221892,12.12793534486367,1.55810577695499,11.42505985925931,1.748046263016913,9.137922155716193,4.134114291877388,.8251697029522134,1.778756827784493,.8842648037961153
35,1,2,.0054207033435067,1.268021243526625,11.42505985925931,1.726836165701165,9.137922155716193,.9410864665879629,2.525573043430045,12.12793534486367,1.268021243526625,11.42505985925931,1.726836165701165,9.137922155716193,6.094194432474242,,2.377380478792564,.9410864665879629
36,1,2,.0054800048352387,1.470511858118745,11.42505985925931,1.938508711235906,9.137922155716193,.9356653058961554,2.530994204121852,12.12793534486367,1.470511858118745,11.42505985925931,1.938508711235906,9.137922155716193,4.489980541392255,.6347072547332204,1.941592723576647,.9356653058961554
37,1,2,.0064058293653675,2.105422579097028,11.42505985925931,2.306256757953395,9.137922155716193,.705642933737774,2.761016576280234,12.12793534486367,2.105422579097028,11.42505985925931,2.306256757953395,9.137922155716193,3.16253249335882,.2669592080157309,1.029010753054929,.705642933737774
38,1,3,.0242331726193065,1.268760066707304,11.38926047400868,.6111111679692295,10.6920893408251,.2209426224277617,2.093190577994618,13.2804616544593,1.268760066707304,11.38926047400868,.6111111679692295,10.6920893408251,2.849245998289139,.4079376128909947,2.46221119124416,.2209426224277617
39,1,3,.0039619663993703,2.149476292056862,11.38926047400868,.6564582223284001,10.6920893408251,.9442733542959305,1.369859846126449,13.2804616544593,2.149476292056862,11.38926047400868,.6564582223284001,10.6920893408251,5.180235691645025,.3625905585318241,1.020551920100283,.9442733542959305
40,1,3,.0283516339640449,1.462645219657144,11.38926047400868,.837021192808685,10.6920893408251,.2805301455107194,2.03360305491166,13.2804616544593,1.462645219657144,11.38926047400868,.837021192808685,10.6920893408251,2.858093457171406,,2.028252635103267,.2805301455107194
41,1,3,.0070295555268573,1.628578035027983,11.38926047400868,.952555759474358,10.6920893408251,.8683870781879678,1.445746122234412,13.2804616544593,1.628578035027983,11.38926047400868,.952555759474358,10.6920893408251,5.646613076855965,.0664930213858662,1.718139185215394,.8683870781879678
42,1,4,.006223858920731,1.176925788373257,11.76256754457611,1.148166996951036,9.941253400877233,.7085794000230258,1.940949513819043,12.94506594103961,1.176925788373257,11.76256754457611,1.148166996951036,9.941253400877233,5.362587550548138,.6217177238570509,1.8581604857674,.7085794000230258
43,1,4,.0071514539949383,1.08098130824292,11.76256754457611,1.318752250367041,9.941253400877233,.662631401496241,1.986897512345827,12.94506594103961,1.08098130824292,11.76256754457611,1.318752250367041,9.941253400877233,4.683886062535626,.4511324704410461,2.045273440596781,.662631401496241
44,1,4,.0068600937234991,1.422474282176827,11.76256754457611,1.7027714997212,9.941253400877233,.8224557652572562,1.827073148584812,12.94506594103961,1.422474282176827,11.76256754457611,1.7027714997212,9.941253400877233,5.09976081886925,.0671132210868877,1.453593139468522,.8224557652572562
45,1,4,.0128894032498271,1.709157022953982,11.76256754457611,1.139963415384985,9.941253400877233,.4558623470655452,2.193666566776523,12.94506594103961,1.709157022953982,11.76256754457611,1.139963415384985,9.941253400877233,2.357651935385649,,1.091284865401555,.4558623470655452
46,1,5,.0079380085027026,1.964913556562676,10.94158864416239,1.100770254480724,10.01178384827823,.7862322192884325,1.868203579402108,12.94015905619114,1.964913556562676,10.94158864416239,1.100770254480724,10.01178384827823,3.685215211832657,.5985840189263705,1.920485741549481,.7862322192884325
47,1,5,.0099464624999501,1.751187673411184,10.94158864416239,1.175293069683933,10.01178384827823,.839008812438834,1.815426986251707,12.94015905619114,1.751187673411184,10.94158864416239,1.175293069683933,10.01178384827823,6.483703144574108,.5240612037231613,2.378105179640096,.839008812438834
48,1,5,.0173612944711515,1.944964106526977,10.94158864416239,1.589140891489985,10.01178384827823,.4087036009481173,2.245732197742424,12.94015905619114,1.944964106526977,10.94158864416239,1.589140891489985,10.01178384827823,3.270374999771496,.1102133819171094,1.959183087892715,.4087036009481173
