v1,market_ids,nodes0,nodes1,weights,invincome
0,0,.052183696117028,-.1276297617885719,.001,.6932186967693577
1,0,-2.037323082862871,-1.195798220396016,.001,.1775872266325126
2,0,.7415132121864215,.4439018066364062,.001,.2000692461550269
3,0,-.6103685809806487,-.4176271338210332,.001,.6642425042493885
4,0,.3740295602004332,-2.591599602763197,.001,.3073487210026279
5,0,-1.05457951617201,1.246259520265324,.001,.6708928995904704
6,0,1.258026081873416,.1518112604322445,.001,.7900646724433529
7,0,-.2642105577332601,-.7487671993045226,.001,.9756462938702858
8,0,.291220972232933,.9138088753347172,.001,.2443564255489121
9,0,-1.202634796433284,-.0344528361334733,.001,.1685801245316886
10,0,1.101032933701951,-1.02397012777209,.001,.0334121115922613
11,0,-.3462994576614811,.5489503778166318,.001,.6598266719535881
12,0,.6419859218801892,-.3182519501347467,.001,.9092422618192302
13,0,-.7077223806980993,-1.730017422809622,.001,.6737038486014307
14,0,2.310105322560436,1.481043208650916,.001,.2190533093341686
15,0,-.0261751003059124,.2465432529533067,.001,.6963055568058204
16,0,.1308647201665362,-.6309524634162029,.001,.7558788448748326
17,0,-1.625210677162868,1.065293335006301,.001,.3863584002517352
18,0,.8489981461396329,.0584252850477848,.001,.0265210391393939
19,0,-.5184882211962841,-.8780373337655011,.001,.3007717141665853
20,0,.4594900106953305,.6604494772541512,.001,.8009592830464318
21,0,-.9266319196716926,-.2219306076309105,.001,.7652237381522649
22,0,1.454230816814581,-1.412845228280017,.001,.484614646396646
23,0,-.1838671496905216,1.848562680235972,.001,.49479883833145
24,0,.1841571977983535,.3435461179278953,.001,.6269488012047273
25,0,-1.45341031703324,-.5213174011216491,.001,.5206059929798118
26,0,.9270701054429445,.8235417277220317,.001,.5236282642832782
27,0,-.4591731033966839,-.0964875829750914,.001,.3325400208019211
28,0,.5188144556035005,-1.134782003103911,.001,.8069765144661459
29,0,-.8485892987530593,.4783203418331319,.001,.0497459267174252
30,0,1.626279849709519,-.3840908499189225,.001,.3381074354210101
31,0,-.1305770943071991,-2.117181505805394,.001,.5088213481801486
32,0,.0264603779426165,1.316584981000043,.001,.5538619604128884
33,0,-2.30601375698898,.1831957327082873,.001,.831463390940824
34,0,.7080887646042425,-.7084128887681248,.001,.7224401225553183
35,0,-.6416355212845144,.9618480766521055,.001,.1699235596323875
36,0,.3466022752662107,-.0035000005033733,.001,.0769120125931507
37,0,-1.100510255697442,-.9730252705526915,.001,.0289323490555493
38,0,1.203222742582468,.5852968296704588,.001,.8777295487462997
39,0,-.2909234532370196,-.2858602142728942,.001,.3945828093781266
40,0,.2645058776380744,-1.605796998082288,.001,.4616918455488378
41,0,-1.257397141916195,1.580887767359116,.001,.7235980758675736
42,0,1.055076942693658,.2785758236266662,.001,.6947708000334247
43,0,-.373723736610467,-.593624986961992,.001,.5666217464398043
44,0,.6107121872164101,1.121554633471218,.001,.5048802005515224
45,0,-.7411378473958184,.0894572629432795,.001,.1756095131935714
46,0,2.039600458604116,-.8334077297790486,.001,.0393949600436315
47,0,-.0518981308278481,.699444842314859,.001,.1940180053835781
48,0,.1049819437400954,-.1903188783907757,.001,.9990639275195655
49,0,-1.73011425607988,-1.333424323902033,.001,.299773281643042
50,0,.8126999038918694,2.05551148301329,.001,.6890706468949862
51,0,-.5481194828732699,.3765658177159313,.001,.2341675913086169
52,0,.431107597903451,-.4861835422092091,.001,.5996501530866063
53,0,-.9668683235594442,.8829224233983768,.001,.162878491848645
54,0,1.383896540104099,-.0551045817772977,.001,.713633878605677
55,0,-.2100740692301546,-1.059464080737418,.001,.0928886456077306
56,0,.2241505801546289,.5251190850378977,.001,.3652703073275592
57,0,-1.348928715831985,-.3400313439359036,.001,.4708219774390621
58,0,.9890470213000425,-1.830559909283495,.001,.5910717576428519
59,0,-.4160685212529581,1.421897651277022,.001,.3637253285645062
60,0,.5641675108570411,.2253299116351954,.001,.3992569061308605
61,0,-.793717579750108,-.6563317371345762,.001,.8152399899887696
62,0,1.795085137643525,1.029586589217451,.001,.1552718393390311
63,0,-.0911670405982347,.0377703560272094,.001,.5678226863375633
64,0,.0656705288143509,-.9087870315189296,.001,.3424887120606241
65,0,-1.940163163910344,.6350031884101491,.001,.4023031730876768
66,0,.7593551478475348,-.24312702302916,.001,.7299006201125049
67,0,-.5942276470526466,-1.471187816476429,.001,.4440943478866873
68,0,.3885079981465844,1.745017107782405,.001,.6515282014404139
69,0,-1.031385956837345,.3217414708814458,.001,.2658555492117707
70,0,1.288304071636515,-.5450999521667487,.001,.8372716369834213
71,0,-.2502941713302935,1.202602863078277,.001,.7824378509375532
72,0,.305296769220225,.130972949914288,.001,.4075202263633575
73,0,-1.175337134136075,-.7763597086704859,.001,.368953204243733
74,0,1.12605996984921,.7531625154504994,.001,.3561992169580027
75,0,-.332038929270045,-.1484583267517596,.001,.5770889727447587
76,0,.6586195021595034,-1.239083963449847,.001,.0782150188825395
77,0,-.6905317292920755,2.701255882558614,.001,.2844021287015199
78,0,2.571013536231785,.4212473337332738,.001,.9152241576800995
79,0,-.0127091183616584,-.4402461338551685,.001,.4073911848645827
